,Tahun,Bulan,Hari,Jam,elevasi (m)
175320,2004,1,1,0,-32.767
175321,2004,1,1,1,-32.767
175322,2004,1,1,2,-32.767
175323,2004,1,1,3,-32.767
175324,2004,1,1,4,-32.767
175325,2004,1,1,5,-32.767
175326,2004,1,1,6,-32.767
175327,2004,1,1,7,-32.767
175328,2004,1,1,8,-32.767
175329,2004,1,1,9,-32.767
175330,2004,1,1,10,-32.767
175331,2004,1,1,11,-32.767
175332,2004,1,1,12,-32.767
175333,2004,1,1,13,-32.767
175334,2004,1,1,14,-32.767
175335,2004,1,1,15,-32.767
175336,2004,1,1,16,-32.767
175337,2004,1,1,17,-32.767
175338,2004,1,1,18,-32.767
175339,2004,1,1,19,-32.767
175340,2004,1,1,20,-32.767
175341,2004,1,1,21,-32.767
175342,2004,1,1,22,-32.767
175343,2004,1,1,23,-32.767
175344,2004,1,2,0,-32.767
175345,2004,1,2,1,-32.767
175346,2004,1,2,2,-32.767
175347,2004,1,2,3,-32.767
175348,2004,1,2,4,-32.767
175349,2004,1,2,5,-32.767
175350,2004,1,2,6,-32.767
175351,2004,1,2,7,-32.767
175352,2004,1,2,8,-32.767
175353,2004,1,2,9,-32.767
175354,2004,1,2,10,-32.767
175355,2004,1,2,11,-32.767
175356,2004,1,2,12,-32.767
175357,2004,1,2,13,-32.767
175358,2004,1,2,14,-32.767
175359,2004,1,2,15,-32.767
175360,2004,1,2,16,-32.767
175361,2004,1,2,17,-32.767
175362,2004,1,2,18,-32.767
175363,2004,1,2,19,-32.767
175364,2004,1,2,20,-32.767
175365,2004,1,2,21,-32.767
175366,2004,1,2,22,-32.767
175367,2004,1,2,23,-32.767
175368,2004,1,3,0,-32.767
175369,2004,1,3,1,-32.767
175370,2004,1,3,2,-32.767
175371,2004,1,3,3,-32.767
175372,2004,1,3,4,-32.767
175373,2004,1,3,5,-32.767
175374,2004,1,3,6,-32.767
175375,2004,1,3,7,-32.767
175376,2004,1,3,8,-32.767
175377,2004,1,3,9,-32.767
175378,2004,1,3,10,-32.767
175379,2004,1,3,11,-32.767
175380,2004,1,3,12,-32.767
175381,2004,1,3,13,-32.767
175382,2004,1,3,14,-32.767
175383,2004,1,3,15,-32.767
175384,2004,1,3,16,-32.767
175385,2004,1,3,17,-32.767
175386,2004,1,3,18,-32.767
175387,2004,1,3,19,-32.767
175388,2004,1,3,20,-32.767
175389,2004,1,3,21,-32.767
175390,2004,1,3,22,-32.767
175391,2004,1,3,23,-32.767
175392,2004,1,4,0,-32.767
175393,2004,1,4,1,-32.767
175394,2004,1,4,2,-32.767
175395,2004,1,4,3,-32.767
175396,2004,1,4,4,-32.767
175397,2004,1,4,5,-32.767
175398,2004,1,4,6,-32.767
175399,2004,1,4,7,-32.767
175400,2004,1,4,8,-32.767
175401,2004,1,4,9,-32.767
175402,2004,1,4,10,-32.767
175403,2004,1,4,11,-32.767
175404,2004,1,4,12,-32.767
